Autotrace Enabled
Shows the execution plan as well as statistics of the statement.
Unable to gather statistics please unsure user has correct access.
The statistic feature requires that the user is granted select on v_$sesstat, v_$statname and v_$session.
DT_PRIKAZU   ID_ORDER NAZEV                                              POCET_KUSU
---------- ---------- -------------------------------------------------- ----------
01.01.18            1 ABB LTD. EUR                                               10 
01.01.18            1 ABB LTD. EUR                                               12 
01.01.18            1 ABB LTD. EUR                                               11 
01.01.18            1 ABB LTD. EUR                                               13 
01.01.18            1 ABB LTD. EUR                                               12 
01.01.18            1 ABB LTD. EUR                                               13 
01.01.18            1 ABB LTD. EUR                                               10 
01.01.18            1 ABB LTD. EUR                                             -143 
01.01.18            1 ABB LTD. EUR                                               10 
01.01.18            1 ABB LTD. EUR                                               11 
01.01.18            1 ABB LTD. EUR                                               10 
01.01.18            1 ACCENTURE LTD                                            -132 
01.01.18            1 ANGLO IRISH BANK CORP PLC  old acquired                  -140 
01.01.18            1 BANK OF IRELAND                                          -168 
01.01.18            1 BAREP Global Credit Class B (EUR)                        -132 
01.01.18            1 CHUBB LTD                                                  13 
01.01.18            1 CHUBB LTD                                                  10 
01.01.18            1 CHUBB LTD                                                  11 
01.01.18            1 CHUBB LTD                                                  11 
01.01.18            1 CHUBB LTD                                                -130 
01.01.18            1 CHUBB LTD                                                  14 
01.01.18            1 CHUBB LTD                                                  12 
01.01.18            1 CHUBB LTD                                                  11 
01.01.18            1 CHUBB LTD                                                  13 
01.01.18            1 CHUBB LTD                                                  14 
01.01.18            1 CHUBB LTD                                                  11 
01.01.18            1 CIE FINANCIERE RICHEMONT-REG                               12 
01.01.18            1 CIE FINANCIERE RICHEMONT-REG                               11 
01.01.18            1 CIE FINANCIERE RICHEMONT-REG                               11 
01.01.18            1 CIE FINANCIERE RICHEMONT-REG                               10 
01.01.18            1 CIE FINANCIERE RICHEMONT-REG                               12 
01.01.18            1 CIE FINANCIERE RICHEMONT-REG                             -132 
01.01.18            1 CIE FINANCIERE RICHEMONT-REG                               12 
01.01.18            1 CIE FINANCIERE RICHEMONT-REG                               10 
01.01.18            1 CIE FINANCIERE RICHEMONT-REG                               11 
01.01.18            1 CIE FINANCIERE RICHEMONT-REG                               13 
01.01.18            1 CIE FINANCIERE RICHEMONT-REG                               14 
01.01.18            1 COCA-COLA HBC AG-DI                                        12 
01.01.18            1 COCA-COLA HBC AG-DI                                        14 
01.01.18            1 COCA-COLA HBC AG-DI                                        13 
01.01.18            1 COCA-COLA HBC AG-DI                                        11 
01.01.18            1 COCA-COLA HBC AG-DI                                        14 
01.01.18            1 COCA-COLA HBC AG-DI                                        11 
01.01.18            1 COCA-COLA HBC AG-DI                                        14 
01.01.18            1 COCA-COLA HBC AG-DI                                        11 
01.01.18            1 COCA-COLA HBC AG-DI                                        13 
01.01.18            1 COCA-COLA HBC AG-DI                                        10 
01.01.18            1 COCA-COLA HBC AG-DI                                      -100 
01.01.18            1 COMPAGNIE FINANCIER RICHEMONT SA                           11 
01.01.18            1 COMPAGNIE FINANCIER RICHEMONT SA                           14 
01.01.18            1 COMPAGNIE FINANCIER RICHEMONT SA                           12 
01.01.18            1 COMPAGNIE FINANCIER RICHEMONT SA                           11 
01.01.18            1 COMPAGNIE FINANCIER RICHEMONT SA                           13 
01.01.18            1 COMPAGNIE FINANCIER RICHEMONT SA                           13 
01.01.18            1 COMPAGNIE FINANCIER RICHEMONT SA                           11 
01.01.18            1 COMPAGNIE FINANCIER RICHEMONT SA                           13 
01.01.18            1 COMPAGNIE FINANCIER RICHEMONT SA                           10 
01.01.18            1 COMPAGNIE FINANCIER RICHEMONT SA                           13 
01.01.18            1 COMPAGNIE FINANCIER RICHEMONT SA                         -120 
01.01.18            1 CONSEQ INVEST CONSERV. BOND F.                           -182 
01.01.18            1 CONSEQ INVEST DLUHOPISOVY OPF                            -132 
01.01.18            1 CONSEQ INVEST NEW EUROPE BOND F.                         -196 
01.01.18            1 CONSEQ INVEST PLC - EQUITY FUND                          -182 
01.01.18            1 CRH PLC                                                    13 
01.01.18            1 CRH PLC                                                    14 
01.01.18            1 CRH PLC                                                    10 
01.01.18            1 CRH PLC                                                    12 
01.01.18            1 CRH PLC                                                    10 
01.01.18            1 CRH PLC                                                    11 
01.01.18            1 CRH PLC                                                    13 
01.01.18            1 CRH PLC                                                  -120 
01.01.18            1 CRH PLC                                                    12 
01.01.18            1 CRH PLC                                                    14 
01.01.18            1 CRH PLC                                                    10 
01.01.18            1 CZK                                                      -110 
01.01.18            1 CZK                                                      -168 
01.01.18            1 CZK                                                      -156 
